Date,Basin,Site,Access_Point,Species ,Length_mm,Mass_g,Method,Notes,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,61,3.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,64,3.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,58,2.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,58,2.3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,2.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,63,3.6,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,56,1.9,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,59,2.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,59,2.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,2.3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,60,2.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,1.9,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,54,1.7,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,73,4.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,71,3.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,55,1.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,48,1.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,65,3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,61,3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,60,2.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,2.9,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,58,2.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,64,3.7,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,56,2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,67,3.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,64,3.1,Practice Pass 1,,,,,
