Species ,Waterbody,Date Collected,Year,Sample Number,ID,Head or Whole,Length_mm,Mass_g,Location,Collection Method,Sex,Fin Clip Collected?,Tissue Collected?,Stomach?,Otolith Collected?,,,,,,
BRN,BH,3/12/20,20,5,BRN.BH.20.5,Just Otos,261.62,,Melrose Section,Spring Electro,U,N,N,N,Y,A5,,,,,
BRN,BH,3/12/20,20,6,BRN.BH.20.6,Just Otos,241.3,,Melrose Section,Spring Electro,U,N,N,N,Y,A6,,,,,
BRN,BH,3/12/20,20,7,BRN.BH.20.7,Just Otos,238.76,,Melrose Section,Spring Electro,U,N,N,N,Y,A7,,,,,
BRN,BH,3/12/20,20,8,BRN.BH.20.8,Just Otos,304.8,,Melrose Section,Spring Electro,U,N,N,N,Y,A8 - broken otolith in envelope,,,,,
BRN,BH,3/12/20,20,9,BRN.BH.20.9,Just Otos,302.26,,Melrose Section,Spring Electro,U,N,N,N,Y,A9,,,,,
BRN,BH,3/12/20,20,10,BRN.BH.20.10,Just Otos,480.06,,Melrose Section,Spring Electro,U,N,N,N,Y,A10,,,,,
BRN,BH,3/12/20,20,11,BRN.BH.20.11,Just Otos,490.22,,Melrose Section,Spring Electro,U,N,N,N,Y,A11,,,,,
BRN,BH,3/12/20,20,12,BRN.BH.20.12,Just Otos,419.1,,Melrose Section,Spring Electro,U,N,N,N,Y,A12,,,,,
BRN,BH,3/12/20,20,13,BRN.BH.20.13,Just Otos,459.74,,Melrose Section,Spring Electro,U,N,N,N,Y,A13,,,,,
BRN,BH,3/12/20,20,14,BRN.BH.20.14,Just Otos,302.26,,Melrose Section,Spring Electro,U,N,N,N,Y,A14,,,,,
BRN,BH,3/12/20,20,15,BRN.BH.20.15,Just Otos,424.18,,Melrose Section,Spring Electro,U,N,N,N,Y,A15 - broken otolith in mold,,,,,
BRN,BH,3/12/20,20,16,BRN.BH.20.16,Just Otos,325.12,,Melrose Section,Spring Electro,U,N,N,N,Y,A16,,,,,
BRN,BH,3/12/20,20,17,BRN.BH.20.17,Just Otos,375.92,,Melrose Section,Spring Electro,U,N,N,N,Y,A17,,,,,
BRN,BH,3/12/20,20,18,BRN.BH.20.18,Just Otos,370.84,,Melrose Section,Spring Electro,U,N,N,N,Y,A18,,,,,
BRN,BH,3/12/20,20,19,BRN.BH.20.19,Just Otos,302.26,,Melrose Section,Spring Electro,U,N,N,N,Y,A19,,,,,
BRN,BH,3/12/20,20,20,BRN.BH.20.20,Just Otos,327.66,,Melrose Section,Spring Electro,U,N,N,N,Y,A20 - broken otolith in envelope,,,,,
BRN,BH,3/12/20,20,21,BRN.BH.20.21,Just Otos,332.74,,Melrose Section,Spring Electro,U,N,N,N,Y,A21,,,,,
BRN,BH,3/12/20,20,22,BRN.BH.20.22,Just Otos,365.76,,Melrose Section,Spring Electro,U,N,N,N,Y,B1 - broken otolith in envelope,,,,,
BRN,BH,3/12/20,20,23,BRN.BH.20.23,Just Otos,220.98,,Melrose Section,Spring Electro,U,N,N,N,Y,B2 - broken otolith in envelope,,,,,
BRN,BH,3/12/20,20,24,BRN.BH.20.24,Just Otos,228.6,,Melrose Section,Spring Electro,U,N,N,N,Y,B3 - broken otolith in envelope,,,,,
BRN,BH,3/12/20,20,25,BRN.BH.20.25,Just Otos,246.38,,Melrose Section,Spring Electro,U,N,N,N,Y,B4 - broken oto in mold,,,,,
BRN,BH,3/12/20,20,26,BRN.BH.20.26,Just Otos,248.92,,Melrose Section,Spring Electro,U,N,N,N,Y,B4 - broken oto in mold,,,,,
BRN,BH,3/12/20,20,27,BRN.BH.20.27,Just Otos,454.66,,Melrose Section,Spring Electro,U,N,N,N,Y,B6,,,,,
BRN,BH,3/12/20,20,28,BRN.BH.20.28,Just Otos,477.52,,Melrose Section,Spring Electro,U,N,N,N,Y,B7,,,,,
BRN,BH,3/12/20,20,29,BRN.BH.20.29,Just Otos,459.74,,Melrose Section,Spring Electro,U,N,N,N,Y,B8,,,,,
BRN,BH,3/12/20,20,30,BRN.BH.20.30,Just Otos,386.08,,Melrose Section,Spring Electro,U,N,N,N,Y,B9,,,,,
BRN,BH,3/12/20,20,31,BRN.BH.20.31,Just Otos,302.26,,Melrose Section,Spring Electro,U,N,N,N,Y,B10 - no otolith in envelope,,,,,
BRN,BH,3/12/20,20,32,BRN.BH.20.32,Just Otos,292.1,,Melrose Section,Spring Electro,U,N,N,N,Y,B11,,,,,
BRN,BH,3/12/20,20,33,BRN.BH.20.33,Just Otos,454.66,,Melrose Section,Spring Electro,U,N,N,N,Y,B12,,,,,
BRN,BH,3/12/20,20,34,BRN.BH.20.34,Just Otos,467.36,,Melrose Section,Spring Electro,U,N,N,N,Y,B13,,,,,
BRN,BH,3/12/20,20,35,BRN.BH.20.35,Just Otos,368.3,,Melrose Section,Spring Electro,U,N,N,N,Y,B14,,,,,
